"RefDes" "Part" "Value" "Name" "Quantity"
"6PAD_I2C" "I2C" "" "LBEEP_JP" "1"
"ANALOG_JP" "Part 1" "" "ANALOG_JP" "1"
"BATT" "Part 1" "" "2PAD" "1"
"C1" "Part 1" "4.7uF" "CAP0603-CAP" "1"
"C6" "Part 1" "1uF" "CAP0603-CAP" "1"
"C7" "Part 1" "0.1uF" "CAP0603-CAP" "1"
"C8" "Part 1" "0.1uF" "CAP0603-CAP" "1"
"C9" "Part 1" "0.1uF" "CAP0603-CAP" "1"
"C12" "Part 1" "1uF" "CAP0603-CAP" "1"
"C13" "Part 1" "1uF" "CAP0603-CAP" "1"
"C14" "Part 1" "220nF" "CAP0603-CAP" "1"
"C15" "Part 1" "12pF" "CAP0805" "1"
"C16" "Part 1" "12pF" "CAP0805" "1"
"C17" "Part 1" "0.1uF" "CAP0603" "1"
"C18" "Part 1" "1uF" "CAP0603" "1"
"C19" "Part 1" "0.1uF" "CAP0603" "1"
"D1" "Part 1" "" "Schottky 0805" "1"
"D2" "Part 1" "RED" "LEDCHIP-LED0805" "1"
"D3" "Part 1" "GREEN" "LEDCHIP-LED0805" "1"
"D4" "Part 1" "1N4148" "DIODE_0603" "1"
"D5" "Part 1" "" "Schottky 0805" "1"
"D6" "Part 1" "1N4148" "DIODE_0603" "1"
"D7" "Part 1" "BLUE" "LEDCHIP-LED0805" "1"
"D8" "Part 1" "RED" "LEDCHIP-LED0805" "1"
"DISABLE_DPPM" "Part 1" "" "DISABLE_DPPM" "1"
"LBEEP_JP" "Part 1" "" "LBEEP_JP" "1"
"LP1" "Part 1" "" "LP5907" "1"
"PPM1" "Part 1" "" "3PAD" "1"
"R1" "Part 1" "10k" "RESISTOR0603-RES" "1"
"R2" "Part 1" "2.2k" "RESISTOR0603-RES" "1"
"R3" "Part 1" "10k" "RES_0603" "1"
"R4" "Part 1" "1k" "RESISTOR0603-RES" "1"
"R5" "Part 1" "1k" "RESISTOR0603-RES" "1"
"R6" "Part 1" "220" "RESISTOR0603-RES" "1"
"R7" "Part 1" "220" "RESISTOR0603-RES" "1"
"R8" "Part 1" "10k" "RESISTOR0603-RES" "1"
"R9" "Part 1" "1k" "RESISTOR0603-RES" "1"
"R10" "Part 1" "1k" "RESISTOR0603-RES" "1"
"R11" "Part 1" "1.5k" "RES_0603" "1"
"R12" "Part 1" "1.5k" "RES_0603" "1"
"R13" "Part 1" "1.5k" "RES_0603" "1"
"R14" "Part 1" "10k" "RES_0603" "1"
"R15" "Part 1" "2.2k" "RES_0603" "1"
"RSSI" "Part 1" "" "3PAD" "1"
"S1" "Part 1" "" "SMA_EDGE" "1"
"SERIAL" "Part 1" "" "3PAD" "1"
"U2" "Part 1" "" "RFM22SMD" "1"
"U3" "Part 1" "" "ATMEGA328_SMT" "1"
"U5" "Part 1" "" "LFCN" "1"
"U6" "BQ24075" "" "BQ24075" "1"
"U7" "Part 1" "" "TRANSISTOR_NPNSOT23" "1"
"U9" "Part 1" "" "CP2102" "1"
"U10" "Part 1" "" "10103594-0001LF" "1"
"X1" "Part 1" "" "XTAL-4-3225" "1"
